2026-04-21 12:34:26,752 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2026-04-21 12:34:26,752 | WARNING | aiogram.dispatcher | Sleep for 5.043144 seconds and try again... (tryings = 7, bot id = 8514921407)
2026-04-21 12:34:31,810 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2026-04-21 12:34:31,810 | WARNING | aiogram.dispatcher | Sleep for 5.007798 seconds and try again... (tryings = 7, bot id = 8514921407)
2026-04-21 12:34:36,831 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2026-04-21 12:34:36,831 | WARNING | aiogram.dispatcher | Sleep for 4.945620 seconds and try again... (tryings = 8, bot id = 8514921407)
2026-04-21 12:34:41,794 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2026-04-21 12:34:41,794 | WARNING | aiogram.dispatcher | Sleep for 4.924138 seconds and try again... (tryings = 8, bot id = 8514921407)
2026-04-21 12:34:46,733 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2026-04-21 12:34:46,733 | WARNING | aiogram.dispatcher | Sleep for 5.003470 seconds and try again... (tryings = 9, bot id = 8514921407)
2026-04-21 12:34:51,804 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2026-04-21 12:34:51,805 | WARNING | aiogram.dispatcher | Sleep for 5.197872 seconds and try again... (tryings = 9, bot id = 8514921407)
2026-04-21 12:34:57,018 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2026-04-21 12:34:57,018 | WARNING | aiogram.dispatcher | Sleep for 4.918312 seconds and try again... (tryings = 10, bot id = 8514921407)
2026-04-21 12:35:01,957 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2026-04-21 12:35:01,958 | WARNING | aiogram.dispatcher | Sleep for 4.918538 seconds and try again... (tryings = 10, bot id = 8514921407)
2026-04-21 12:35:06,892 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2026-04-21 12:35:06,892 | WARNING | aiogram.dispatcher | Sleep for 5.024135 seconds and try again... (tryings = 11, bot id = 8514921407)
2026-04-21 12:35:11,938 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2026-04-21 12:35:11,938 | WARNING | aiogram.dispatcher | Sleep for 4.947042 seconds and try again... (tryings = 11, bot id = 8514921407)
2026-04-21 12:35:16,902 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2026-04-21 12:35:16,902 | WARNING | aiogram.dispatcher | Sleep for 4.805780 seconds and try again... (tryings = 12, bot id = 8514921407)
2026-04-21 12:35:21,732 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2026-04-21 12:35:21,732 | WARNING | aiogram.dispatcher | Sleep for 4.997327 seconds and try again... (tryings = 12, bot id = 8514921407)
2026-04-21 12:35:26,745 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2026-04-21 12:35:26,745 | WARNING | aiogram.dispatcher | Sleep for 4.951426 seconds and try again... (tryings = 13, bot id = 8514921407)
